INSERT INTO `shangpinxinxi` (`id`, `addtime`, `shangpinmingcheng`, `shangpinfenlei`, `tupian`, `biaoqian`, `pinpai`, `shangpinxiangqing`, `clicktime`, `clicknum`, `price`) VALUES
(82,'2024-08-31 20:00:00','WILH. STEINBERG PSC300 大提琴 (套裝)','弦乐','http://localhost:8080/wangshangshangchengB/upload/pics/弦乐/cello/WILH. STEINBERG PSC300 大提琴 (套裝).jpg','cello','WILH.','WILH. STEINBERG PSC300 大提琴 (套裝)','2024-08-31 20:00:00',1,22446.97),
(83,'2024-08-31 20:00:00','WILH. STEINBERG PSC500 大提琴 (套裝)','弦乐','http://localhost:8080/wangshangshangchengB/upload/pics/弦乐/cello/WILH. STEINBERG PSC500 大提琴 (套裝).jpg','cello','WILH.','WILH. STEINBERG PSC500 大提琴 (套裝)','2024-08-31 20:00:00',1,27912.89),
(84,'2024-08-31 20:00:00','WILH. STEINBERG GSA600 中提琴 (套裝)','弦乐','http://localhost:8080/wangshangshangchengB/upload/pics/弦乐/viola/WILH. STEINBERG GSA600 中提琴 (套裝).jpg','viola','WILH.','WILH. STEINBERG GSA600 中提琴 (套裝)','2024-08-31 20:00:00',1,18469.11),
(85,'2024-08-31 20:00:00','WILH. STEINBERG LSA1000 中提琴 (套裝)','弦乐','http://localhost:8080/wangshangshangchengB/upload/pics/弦乐/viola/WILH. STEINBERG LSA1000 中提琴 (套裝).jpg','viola','WILH.','WILH. STEINBERG LSA1000 中提琴 (套裝)','2024-08-31 20:00:00',1,50284.68),
(86,'2024-08-31 20:00:00','WILH. STEINBERG LSA800 中提琴 (套裝)','弦乐','http://localhost:8080/wangshangshangchengB/upload/pics/弦乐/viola/WILH. STEINBERG LSA800 中提琴 (套裝).jpg','viola','WILH.','WILH. STEINBERG LSA800 中提琴 (套裝)','2024-08-31 20:00:00',1,16478.61),
(87,'2024-08-31 20:00:00','WILH. STEINBERG PSA300 中提琴 (套裝)','弦乐','http://localhost:8080/wangshangshangchengB/upload/pics/弦乐/viola/WILH. STEINBERG PSA300 中提琴 (套裝).jpg','viola','WILH.','WILH. STEINBERG PSA300 中提琴 (套裝)','2024-08-31 20:00:00',1,77594.78),
(88,'2024-08-31 20:00:00','WILH. STEINBERG GS600 小提琴 (套裝)','弦乐','http://localhost:8080/wangshangshangchengB/upload/pics/弦乐/violin/WILH. STEINBERG GS600 小提琴 (套裝).jpg','violin','WILH.','WILH. STEINBERG GS600 小提琴 (套裝)','2024-08-31 20:00:00',1,31185.42),
(89,'2024-08-31 20:00:00','WILH. STEINBERG GS700 小提琴 (套裝)','弦乐','http://localhost:8080/wangshangshangchengB/upload/pics/弦乐/violin/WILH. STEINBERG GS700 小提琴 (套裝).jpg','violin','WILH.','WILH. STEINBERG GS700 小提琴 (套裝)','2024-08-31 20:00:00',1,17092.35),
(90,'2024-08-31 20:00:00','WILH. STEINBERG LS1000 小提琴 (套裝)','弦乐','http://localhost:8080/wangshangshangchengB/upload/pics/弦乐/violin/WILH. STEINBERG LS1000 小提琴 (套裝).jpg','violin','WILH.','WILH. STEINBERG LS1000 小提琴 (套裝)','2024-08-31 20:00:00',1,67406.75),
(91,'2024-08-31 20:00:00','WILH. STEINBERG LS800 小提琴 (套裝)','弦乐','http://localhost:8080/wangshangshangchengB/upload/pics/弦乐/violin/WILH. STEINBERG LS800 小提琴 (套裝).jpg','violin','WILH.','WILH. STEINBERG LS800 小提琴 (套裝)','2024-08-31 20:00:00',1,13765.5),
(92,'2024-08-31 20:00:00','WILH. STEINBERG LS900 小提琴 (套裝)','弦乐','http://localhost:8080/wangshangshangchengB/upload/pics/弦乐/violin/WILH. STEINBERG LS900 小提琴 (套裝).jpg','violin','WILH.','WILH. STEINBERG LS900 小提琴 (套裝)','2024-08-31 20:00:00',1,61979.01),
(93,'2024-08-31 20:00:00','WILH. STEINBERG PS100 小提琴 (套装)','弦乐','http://localhost:8080/wangshangshangchengB/upload/pics/弦乐/violin/WILH. STEINBERG PS100 小提琴 (套装).jpg','violin','WILH.','WILH. STEINBERG PS100 小提琴 (套装)','2024-08-31 20:00:00',1,70967.03),
(94,'2024-08-31 20:00:00','WILH. STEINBERG PS200ES 44 小提琴 (套装)','弦乐','http://localhost:8080/wangshangshangchengB/upload/pics/弦乐/violin/WILH. STEINBERG PS200ES 44 小提琴 (套装).jpg','violin','WILH.','WILH. STEINBERG PS200ES 44 小提琴 (套装)','2024-08-31 20:00:00',1,4100.55),
(95,'2024-08-31 20:00:00','WILH. STEINBERG PS300ES 小提琴 (套裝)','弦乐','http://localhost:8080/wangshangshangchengB/upload/pics/弦乐/violin/WILH. STEINBERG PS300ES 小提琴 (套裝).jpg','violin','WILH.','WILH. STEINBERG PS300ES 小提琴 (套裝)','2024-08-31 20:00:00',1,54608.13),
(96,'2024-08-31 20:00:00','WILH. STEINBERG PS400 小提琴 (套裝)','弦乐','http://localhost:8080/wangshangshangchengB/upload/pics/弦乐/violin/WILH. STEINBERG PS400 小提琴 (套裝).jpg','violin','WILH.','WILH. STEINBERG PS400 小提琴 (套裝)','2024-08-31 20:00:00',1,33133.74),
(97,'2024-08-31 20:00:00','WILH. STEINBERG PS500 小提琴 (演奏家套裝)','弦乐','http://localhost:8080/wangshangshangchengB/upload/pics/弦乐/violin/WILH. STEINBERG PS500 小提琴 (演奏家套裝).jpg','violin','WILH.','WILH. STEINBERG PS500 小提琴 (演奏家套裝)','2024-08-31 20:00:00',1,71855.25),
(98,'2024-08-31 20:00:00','KUN Solo 小提琴 44 肩托 (独奏系列)','民乐','http://localhost:8080/wangshangshangchengB/upload/pics/民乐/Category/KUN Solo 小提琴 44 肩托 (独奏系列).jpg','Category','KUN','KUN Solo 小提琴 44 肩托 (独奏系列)','2024-08-31 20:00:00',1,83082.74),
(99,'2024-08-31 20:00:00','KUN Super 中提琴肩托 (非凡系列)','民乐','http://localhost:8080/wangshangshangchengB/upload/pics/民乐/Category/KUN Super 中提琴肩托 (非凡系列).jpg','Category','KUN','KUN Super 中提琴肩托 (非凡系列)','2024-08-31 20:00:00',1,60527.23),
(100,'2024-08-31 20:00:00','KUN Super 小提琴 34 - 12肩托 (非凡系列)','民乐','http://localhost:8080/wangshangshangchengB/upload/pics/民乐/Category/KUN Super 小提琴 34 - 12肩托 (非凡系列).jpg','Category','KUN','KUN Super 小提琴 34 - 12肩托 (非凡系列)','2024-08-31 20:00:00',1,50691.73),
(101,'2024-08-31 20:00:00','KUN 中提琴肩托 (Bravo折迭系列)','民乐','http://localhost:8080/wangshangshangchengB/upload/pics/民乐/Category/KUN 中提琴肩托 (Bravo折迭系列).jpg','Category','KUN','KUN 中提琴肩托 (Bravo折迭系列)','2024-08-31 20:00:00',1,89533.06),
(102,'2024-08-31 20:00:00','KUN 中提琴肩托 (Bravo系列)','民乐','http://localhost:8080/wangshangshangchengB/upload/pics/民乐/Category/KUN 中提琴肩托 (Bravo系列).jpg','Category','KUN','KUN 中提琴肩托 (Bravo系列)','2024-08-31 20:00:00',1,32966.89),
(103,'2024-08-31 20:00:00','KUN 中提琴肩托 (折迭系列)','民乐','http://localhost:8080/wangshangshangchengB/upload/pics/民乐/Category/KUN 中提琴肩托 (折迭系列).jpg','Category','KUN','KUN 中提琴肩托 (折迭系列)','2024-08-31 20:00:00',1,17659.16),
(104,'2024-08-31 20:00:00','KUN 中提琴肩托 (经典系列)','民乐','http://localhost:8080/wangshangshangchengB/upload/pics/民乐/Category/KUN 中提琴肩托 (经典系列).jpg','Category','KUN','KUN 中提琴肩托 (经典系列)','2024-08-31 20:00:00',1,68144.18),
(105,'2024-08-31 20:00:00','KUN 小提琴 14 - 116 肩托 (折迭系列-紫色)','民乐','http://localhost:8080/wangshangshangchengB/upload/pics/民乐/Category/KUN 小提琴 14 - 116 肩托 (折迭系列-紫色).jpg','Category','KUN','KUN 小提琴 14 - 116 肩托 (折迭系列-紫色)','2024-08-31 20:00:00',1,51755.51),
(106,'2024-08-31 20:00:00','KUN 小提琴 14 - 116 肩托 (折迭系列-红色)','民乐','http://localhost:8080/wangshangshangchengB/upload/pics/民乐/Category/KUN 小提琴 14 - 116 肩托 (折迭系列-红色).jpg','Category','KUN','KUN 小提琴 14 - 116 肩托 (折迭系列-红色)','2024-08-31 20:00:00',1,8104.21),
(107,'2024-08-31 20:00:00','KUN 小提琴 14 - 116 肩托 (折迭系列-蓝色)','民乐','http://localhost:8080/wangshangshangchengB/upload/pics/民乐/Category/KUN 小提琴 14 - 116 肩托 (折迭系列-蓝色).jpg','Category','KUN','KUN 小提琴 14 - 116 肩托 (折迭系列-蓝色)','2024-08-31 20:00:00',1,16039.11),
(108,'2024-08-31 20:00:00','KUN 小提琴 14 - 18 肩托 (经典系列)','民乐','http://localhost:8080/wangshangshangchengB/upload/pics/民乐/Category/KUN 小提琴 14 - 18 肩托 (经典系列).jpg','Category','KUN','KUN 小提琴 14 - 18 肩托 (经典系列)','2024-08-31 20:00:00',1,44747.88),
(109,'2024-08-31 20:00:00','KUN 小提琴 14 - 18 肩托 (经典系列-绿色)','民乐','http://localhost:8080/wangshangshangchengB/upload/pics/民乐/Category/KUN 小提琴 14 - 18 肩托 (经典系列-绿色).jpg','Category','KUN','KUN 小提琴 14 - 18 肩托 (经典系列-绿色)','2024-08-31 20:00:00',1,34863.46),
(110,'2024-08-31 20:00:00','KUN 小提琴 34 - 12 肩托 (折迭系列)','民乐','http://localhost:8080/wangshangshangchengB/upload/pics/民乐/Category/KUN 小提琴 34 - 12 肩托 (折迭系列).jpg','Category','KUN','KUN 小提琴 34 - 12 肩托 (折迭系列)','2024-08-31 20:00:00',1,66957.95),
(111,'2024-08-31 20:00:00','KUN 小提琴 34 - 12 肩托 (折迭系列-桃红)','民乐','http://localhost:8080/wangshangshangchengB/upload/pics/民乐/Category/KUN 小提琴 34 - 12 肩托 (折迭系列-桃红).jpg','Category','KUN','KUN 小提琴 34 - 12 肩托 (折迭系列-桃红)','2024-08-31 20:00:00',1,47719.58),
(112,'2024-08-31 20:00:00','KUN 小提琴 34 - 12 肩托 (折迭系列-粉红)','民乐','http://localhost:8080/wangshangshangchengB/upload/pics/民乐/Category/KUN 小提琴 34 - 12 肩托 (折迭系列-粉红).jpg','Category','KUN','KUN 小提琴 34 - 12 肩托 (折迭系列-粉红)','2024-08-31 20:00:00',1,2536.31),
(113,'2024-08-31 20:00:00','KUN 小提琴 34 - 12 肩托 (折迭系列-蓝色)','民乐','http://localhost:8080/wangshangshangchengB/upload/pics/民乐/Category/KUN 小提琴 34 - 12 肩托 (折迭系列-蓝色).jpg','Category','KUN','KUN 小提琴 34 - 12 肩托 (折迭系列-蓝色)','2024-08-31 20:00:00',1,54048.21),
(114,'2024-08-31 20:00:00','KUN 小提琴 34 - 12 肩托 (经典系列)','民乐','http://localhost:8080/wangshangshangchengB/upload/pics/民乐/Category/KUN 小提琴 34 - 12 肩托 (经典系列).jpg','Category','KUN','KUN 小提琴 34 - 12 肩托 (经典系列)','2024-08-31 20:00:00',1,76360.68),
(115,'2024-08-31 20:00:00','KUN 小提琴 44 肩托 (Bravo系列)','民乐','http://localhost:8080/wangshangshangchengB/upload/pics/民乐/Category/KUN 小提琴 44 肩托 (Bravo系列).jpg','Category','KUN','KUN 小提琴 44 肩托 (Bravo系列)','2024-08-31 20:00:00',1,2462.77),
(116,'2024-08-31 20:00:00','KUN 小提琴 44 肩托 (折迭系列)','民乐','http://localhost:8080/wangshangshangchengB/upload/pics/民乐/Category/KUN 小提琴 44 肩托 (折迭系列).jpg','Category','KUN','KUN 小提琴 44 肩托 (折迭系列)','2024-08-31 20:00:00',1,89569.01),
(117,'2024-08-31 20:00:00','KUN 小提琴 44 肩托 (经典系列)','民乐','http://localhost:8080/wangshangshangchengB/upload/pics/民乐/Category/KUN 小提琴 44 肩托 (经典系列).jpg','Category','KUN','KUN 小提琴 44 肩托 (经典系列)','2024-08-31 20:00:00',1,88342.29),
(118,'2024-08-31 20:00:00','FAZIOLI F156 三角钢琴','钢琴','http://localhost:8080/wangshangshangchengB/upload/pics/钢琴/grandpiano/FAZIOLI F156 三角钢琴.jpg','grandpiano','FAZIOLI','FAZIOLI F156 三角钢琴','2024-08-31 20:00:00',1,25078.25),
(119,'2024-08-31 20:00:00','FAZIOLI F183 MARCO POLO 三角钢琴','钢琴','http://localhost:8080/wangshangshangchengB/upload/pics/钢琴/grandpiano/FAZIOLI F183 MARCO POLO 三角钢琴.jpg','grandpiano','FAZIOLI','FAZIOLI F183 MARCO POLO 三角钢琴','2024-08-31 20:00:00',1,27795.23),
(120,'2024-08-31 20:00:00','FAZIOLI F212 MALACHITE 三角钢琴','钢琴','http://localhost:8080/wangshangshangchengB/upload/pics/钢琴/grandpiano/FAZIOLI F212 MALACHITE 三角钢琴.jpg','grandpiano','FAZIOLI','FAZIOLI F212 MALACHITE 三角钢琴','2024-08-31 20:00:00',1,30221.02),
(121,'2024-08-31 20:00:00','FAZIOLI F212 三角钢琴','钢琴','http://localhost:8080/wangshangshangchengB/upload/pics/钢琴/grandpiano/FAZIOLI F212 三角钢琴.jpg','grandpiano','FAZIOLI','FAZIOLI F212 三角钢琴','2024-08-31 20:00:00',1,31079.47),
(122,'2024-08-31 20:00:00','FAZIOLI F228 24k 金箔三角钢琴 黄金树叶','钢琴','http://localhost:8080/wangshangshangchengB/upload/pics/钢琴/grandpiano/FAZIOLI F228 24k 金箔三角钢琴 黄金树叶.jpg','grandpiano','FAZIOLI','FAZIOLI F228 24k 金箔三角钢琴 黄金树叶','2024-08-31 20:00:00',1,36084.95),
(123,'2024-08-31 20:00:00','FAZIOLI F228 三角钢琴','钢琴','http://localhost:8080/wangshangshangchengB/upload/pics/钢琴/grandpiano/FAZIOLI F228 三角钢琴.jpg','grandpiano','FAZIOLI','FAZIOLI F228 三角钢琴','2024-08-31 20:00:00',1,16915.95),
(124,'2024-08-31 20:00:00','FAZIOLI F278 演奏会三角钢琴','钢琴','http://localhost:8080/wangshangshangchengB/upload/pics/钢琴/grandpiano/FAZIOLI F278 演奏会三角钢琴.jpg','grandpiano','FAZIOLI','FAZIOLI F278 演奏会三角钢琴','2024-08-31 20:00:00',1,79954.48),
(125,'2024-08-31 20:00:00','FAZIOLI F308 演奏会三角钢琴','钢琴','http://localhost:8080/wangshangshangchengB/upload/pics/钢琴/grandpiano/FAZIOLI F308 演奏会三角钢琴.jpg','grandpiano','FAZIOLI','FAZIOLI F308 演奏会三角钢琴','2024-08-31 20:00:00',1,88177.23),
(126,'2024-08-31 20:00:00','GROTRIAN（高天钢琴）FG-170DFW','钢琴','http://localhost:8080/wangshangshangchengB/upload/pics/钢琴/grandpiano/GROTRIAN（高天钢琴）FG-170DFW.jpg','grandpiano','GROTRIAN（高天钢琴）FG-170DFW.jpg','GROTRIAN（高天钢琴）FG-170DFW','2024-08-31 20:00:00',1,23556.58),
(127,'2024-08-31 20:00:00','GROTRIAN（高天钢琴）FG-170LQ','钢琴','http://localhost:8080/wangshangshangchengB/upload/pics/钢琴/grandpiano/GROTRIAN（高天钢琴）FG-170LQ.jpg','grandpiano','GROTRIAN（高天钢琴）FG-170LQ.jpg','GROTRIAN（高天钢琴）FG-170LQ','2024-08-31 20:00:00',1,44410.98),
(128,'2024-08-31 20:00:00','GROTRIAN（高天钢琴）WG-170-B18','钢琴','http://localhost:8080/wangshangshangchengB/upload/pics/钢琴/grandpiano/GROTRIAN（高天钢琴）WG-170-B18.jpg','grandpiano','GROTRIAN（高天钢琴）WG-170-B18.jpg','GROTRIAN（高天钢琴）WG-170-B18','2024-08-31 20:00:00',1,68544.3),
(129,'2024-08-31 20:00:00','GROTRIAN（高天钢琴）WG-170-DM16','钢琴','http://localhost:8080/wangshangshangchengB/upload/pics/钢琴/grandpiano/GROTRIAN（高天钢琴）WG-170-DM16.jpg','grandpiano','GROTRIAN（高天钢琴）WG-170-DM16.jpg','GROTRIAN（高天钢琴）WG-170-DM16','2024-08-31 20:00:00',1,88139.61),
(130,'2024-08-31 20:00:00','GROTRIAN（高天钢琴）WG-170-GD','钢琴','http://localhost:8080/wangshangshangchengB/upload/pics/钢琴/grandpiano/GROTRIAN（高天钢琴）WG-170-GD.jpg','grandpiano','GROTRIAN（高天钢琴）WG-170-GD.jpg','GROTRIAN（高天钢琴）WG-170-GD','2024-08-31 20:00:00',1,82239.26),
(131,'2024-08-31 20:00:00','GROTRIAN（高天钢琴）WG-170-IA16','钢琴','http://localhost:8080/wangshangshangchengB/upload/pics/钢琴/grandpiano/GROTRIAN（高天钢琴）WG-170-IA16.jpg','grandpiano','GROTRIAN（高天钢琴）WG-170-IA16.jpg','GROTRIAN（高天钢琴）WG-170-IA16','2024-08-31 20:00:00',1,62759.65),
(132,'2024-08-31 20:00:00','GROTRIAN（高天钢琴）WG-188DM','钢琴','http://localhost:8080/wangshangshangchengB/upload/pics/钢琴/grandpiano/GROTRIAN（高天钢琴）WG-188DM.jpg','grandpiano','GROTRIAN（高天钢琴）WG-188DM.jpg','GROTRIAN（高天钢琴）WG-188DM','2024-08-31 20:00:00',1,75773.41),
(133,'2024-08-31 20:00:00','GROTRIAN（高天钢琴）WGS-165-C57','钢琴','http://localhost:8080/wangshangshangchengB/upload/pics/钢琴/grandpiano/GROTRIAN（高天钢琴）WGS-165-C57.jpg','grandpiano','GROTRIAN（高天钢琴）WGS-165-C57.jpg','GROTRIAN（高天钢琴）WGS-165-C57','2024-08-31 20:00:00',1,27681.19),
(134,'2024-08-31 20:00:00','GROTRIAN（高天钢琴）WGS-165-FR16','钢琴','http://localhost:8080/wangshangshangchengB/upload/pics/钢琴/grandpiano/GROTRIAN（高天钢琴）WGS-165-FR16.jpg','grandpiano','GROTRIAN（高天钢琴）WGS-165-FR16.jpg','GROTRIAN（高天钢琴）WGS-165-FR16','2024-08-31 20:00:00',1,38450.68),
(135,'2024-08-31 20:00:00','GROTRIAN（高天钢琴）WGS-165-HW57','钢琴','http://localhost:8080/wangshangshangchengB/upload/pics/钢琴/grandpiano/GROTRIAN（高天钢琴）WGS-165-HW57.jpg','grandpiano','GROTRIAN（高天钢琴）WGS-165-HW57.jpg','GROTRIAN（高天钢琴）WGS-165-HW57','2024-08-31 20:00:00',1,67037.83),
(136,'2024-08-31 20:00:00','长江钢琴 三角 CGF-X1','钢琴','http://localhost:8080/wangshangshangchengB/upload/pics/钢琴/grandpiano/长江钢琴 三角 CGF-X1.jpg','grandpiano','长江钢琴','长江钢琴 三角 CGF-X1','2024-08-31 20:00:00',1,7539.05),
(137,'2024-08-31 20:00:00','长江钢琴 三角 TCH-80','钢琴','http://localhost:8080/wangshangshangchengB/upload/pics/钢琴/grandpiano/长江钢琴 三角 TCH-80.jpg','grandpiano','长江钢琴','长江钢琴 三角 TCH-80','2024-08-31 20:00:00',1,37938.38),
(138,'2024-08-31 20:00:00','GROTRIAN（高天钢琴）WG-170-GD','钢琴','http://localhost:8080/wangshangshangchengB/upload/pics/钢琴/uprightpiano/GROTRIAN（高天钢琴）WG-170-GD.jpg','uprightpiano','GROTRIAN（高天钢琴）WG-170-GD.jpg','GROTRIAN（高天钢琴）WG-170-GD','2024-08-31 20:00:00',1,36493.53),
(139,'2024-08-31 20:00:00','GROTRIAN（高天钢琴）WGC-1','钢琴','http://localhost:8080/wangshangshangchengB/upload/pics/钢琴/uprightpiano/GROTRIAN（高天钢琴）WGC-1.jpg','uprightpiano','GROTRIAN（高天钢琴）WGC-1.jpg','GROTRIAN（高天钢琴）WGC-1','2024-08-31 20:00:00',1,62298.6),
(140,'2024-08-31 20:00:00','GROTRIAN（高天钢琴）WGC-2','钢琴','http://localhost:8080/wangshangshangchengB/upload/pics/钢琴/uprightpiano/GROTRIAN（高天钢琴）WGC-2.jpg','uprightpiano','GROTRIAN（高天钢琴）WGC-2.jpg','GROTRIAN（高天钢琴）WGC-2','2024-08-31 20:00:00',1,22598.44),
(141,'2024-08-31 20:00:00','GROTRIAN（高天钢琴）WGC-3','钢琴','http://localhost:8080/wangshangshangchengB/upload/pics/钢琴/uprightpiano/GROTRIAN（高天钢琴）WGC-3.jpg','uprightpiano','GROTRIAN（高天钢琴）WGC-3.jpg','GROTRIAN（高天钢琴）WGC-3','2024-08-31 20:00:00',1,40592.18),
(142,'2024-08-31 20:00:00','GROTRIAN（高天钢琴）WGC-6','钢琴','http://localhost:8080/wangshangshangchengB/upload/pics/钢琴/uprightpiano/GROTRIAN（高天钢琴）WGC-6.jpg','uprightpiano','GROTRIAN（高天钢琴）WGC-6.jpg','GROTRIAN（高天钢琴）WGC-6','2024-08-31 20:00:00',1,37600.16),
(143,'2024-08-31 20:00:00','GROTRIAN（高天钢琴）WGC-A','钢琴','http://localhost:8080/wangshangshangchengB/upload/pics/钢琴/uprightpiano/GROTRIAN（高天钢琴）WGC-A.jpg','uprightpiano','GROTRIAN（高天钢琴）WGC-A.jpg','GROTRIAN（高天钢琴）WGC-A','2024-08-31 20:00:00',1,12254.66),
(144,'2024-08-31 20:00:00','GROTRIAN（高天钢琴）WGS-118','钢琴','http://localhost:8080/wangshangshangchengB/upload/pics/钢琴/uprightpiano/GROTRIAN（高天钢琴）WGS-118.jpg','uprightpiano','GROTRIAN（高天钢琴）WGS-118.jpg','GROTRIAN（高天钢琴）WGS-118','2024-08-31 20:00:00',1,55001.71),
(145,'2024-08-31 20:00:00','KAWAI VT 迈向百年经典系列 VT-S25X 立式琴','钢琴','http://localhost:8080/wangshangshangchengB/upload/pics/钢琴/uprightpiano/KAWAI VT 迈向百年经典系列 VT-S25X 立式琴.jpg','uprightpiano','KAWAI','KAWAI VT 迈向百年经典系列 VT-S25X 立式琴','2024-08-31 20:00:00',1,39336.71),
(146,'2024-08-31 20:00:00','长江钢琴 立式 C-1LE','钢琴','http://localhost:8080/wangshangshangchengB/upload/pics/钢琴/uprightpiano/长江钢琴 立式 C-1LE.jpg','uprightpiano','长江钢琴','长江钢琴 立式 C-1LE','2024-08-31 20:00:00',1,25851.56),
(147,'2024-08-31 20:00:00','长江钢琴 立式 C-3LE','钢琴','http://localhost:8080/wangshangshangchengB/upload/pics/钢琴/uprightpiano/长江钢琴 立式 C-3LE.jpg','uprightpiano','长江钢琴','长江钢琴 立式 C-3LE','2024-08-31 20:00:00',1,42996.03),
(148,'2024-08-31 20:00:00','长江钢琴 立式 C-6LE','钢琴','http://localhost:8080/wangshangshangchengB/upload/pics/钢琴/uprightpiano/长江钢琴 立式 C-6LE.jpg','uprightpiano','长江钢琴','长江钢琴 立式 C-6LE','2024-08-31 20:00:00',1,9533.21),
(149,'2024-08-31 20:00:00','长江钢琴 立式 C-9LE','钢琴','http://localhost:8080/wangshangshangchengB/upload/pics/钢琴/uprightpiano/长江钢琴 立式 C-9LE.jpg','uprightpiano','长江钢琴','长江钢琴 立式 C-9LE','2024-08-31 20:00:00',1,24472.28),
(150,'2024-08-31 20:00:00','长江钢琴 立式 CR-123','钢琴','http://localhost:8080/wangshangshangchengB/upload/pics/钢琴/uprightpiano/长江钢琴 立式 CR-123.jpg','uprightpiano','长江钢琴','长江钢琴 立式 CR-123','2024-08-31 20:00:00',1,36836.6),
(151,'2024-08-31 20:00:00','长江钢琴 立式 TCH-121','钢琴','http://localhost:8080/wangshangshangchengB/upload/pics/钢琴/uprightpiano/长江钢琴 立式 TCH-121.jpg','uprightpiano','长江钢琴','长江钢琴 立式 TCH-121','2024-08-31 20:00:00',1,88451.93),
(152,'2024-08-31 20:00:00','长江钢琴 立式 TCH-123','钢琴','http://localhost:8080/wangshangshangchengB/upload/pics/钢琴/uprightpiano/长江钢琴 立式 TCH-123.jpg','uprightpiano','长江钢琴','长江钢琴 立式 TCH-123','2024-08-31 20:00:00',1,64868.67),
(153,'2024-08-31 20:00:00','长江钢琴 立式 TCH-126','钢琴','http://localhost:8080/wangshangshangchengB/upload/pics/钢琴/uprightpiano/长江钢琴 立式 TCH-126.jpg','uprightpiano','长江钢琴','长江钢琴 立式 TCH-126','2024-08-31 20:00:00',1,6761.72),
(154,'2024-08-31 20:00:00','长江钢琴 立式 TCH-2XLE','钢琴','http://localhost:8080/wangshangshangchengB/upload/pics/钢琴/uprightpiano/长江钢琴 立式 TCH-2XLE.jpg','uprightpiano','长江钢琴','长江钢琴 立式 TCH-2XLE','2024-08-31 20:00:00',1,14099.64),
(155,'2024-08-31 20:00:00','长江钢琴 立式 TCH-3XLE','钢琴','http://localhost:8080/wangshangshangchengB/upload/pics/钢琴/uprightpiano/长江钢琴 立式 TCH-3XLE.jpg','uprightpiano','长江钢琴','长江钢琴 立式 TCH-3XLE','2024-08-31 20:00:00',1,15918.65),
(156,'2024-08-31 20:00:00','长江钢琴 立式 TCH-8XLE','钢琴','http://localhost:8080/wangshangshangchengB/upload/pics/钢琴/uprightpiano/长江钢琴 立式 TCH-8XLE.jpg','uprightpiano','长江钢琴','长江钢琴 立式 TCH-8XLE','2024-08-31 20:00:00',1,21153.83),
(157,'2024-08-31 20:00:00','长江钢琴 立式 TCH-9XLE','钢琴','http://localhost:8080/wangshangshangchengB/upload/pics/钢琴/uprightpiano/长江钢琴 立式 TCH-9XLE.jpg','uprightpiano','长江钢琴','长江钢琴 立式 TCH-9XLE','2024-08-31 20:00:00',1,37333.71),
(158,'2024-08-31 20:00:00','Roland GO-61K 电子琴','键盘','http://localhost:8080/wangshangshangchengB/upload/pics/键盘/digitalkeyboard/Roland GO-61K 电子琴.jpg','digitalkeyboard','Roland','Roland GO-61K 电子琴','2024-08-31 20:00:00',1,36476.1),
(159,'2024-08-31 20:00:00','Roland GO-61P 电子琴','键盘','http://localhost:8080/wangshangshangchengB/upload/pics/键盘/digitalkeyboard/Roland GO-61P 电子琴.jpg','digitalkeyboard','Roland','Roland GO-61P 电子琴','2024-08-31 20:00:00',1,27643.42),
(160,'2024-08-31 20:00:00','KAWAI  ES108  数码钢琴','键盘','http://localhost:8080/wangshangshangchengB/upload/pics/键盘/digitalpiano/KAWAI  ES108  数码钢琴.jpg','digitalpiano','KAWAI','KAWAI  ES108  数码钢琴','2024-08-31 20:00:00',1,51085.33),
(161,'2024-08-31 20:00:00','KAWAI  ES110G 数码钢琴','键盘','http://localhost:8080/wangshangshangchengB/upload/pics/键盘/digitalpiano/KAWAI  ES110G 数码钢琴.jpg','digitalpiano','KAWAI','KAWAI  ES110G 数码钢琴','2024-08-31 20:00:00',1,82166.1),
(162,'2024-08-31 20:00:00','KAWAI  ES118 数码钢琴','键盘','http://localhost:8080/wangshangshangchengB/upload/pics/键盘/digitalpiano/KAWAI  ES118 数码钢琴.jpg','digitalpiano','KAWAI','KAWAI  ES118 数码钢琴','2024-08-31 20:00:00',1,30651.28),
(163,'2024-08-31 20:00:00','KAWAI  KDP120G  数码钢琴','键盘','http://localhost:8080/wangshangshangchengB/upload/pics/键盘/digitalpiano/KAWAI  KDP120G  数码钢琴.jpg','digitalpiano','KAWAI','KAWAI  KDP120G  数码钢琴','2024-08-31 20:00:00',1,30407.64),
(164,'2024-08-31 20:00:00','KAWAI  MP11SE 数码钢琴','键盘','http://localhost:8080/wangshangshangchengB/upload/pics/键盘/digitalpiano/KAWAI  MP11SE 数码钢琴.jpg','digitalpiano','KAWAI','KAWAI  MP11SE 数码钢琴','2024-08-31 20:00:00',1,27422.89),
(165,'2024-08-31 20:00:00','KAWAI CA28G 数码钢琴','键盘','http://localhost:8080/wangshangshangchengB/upload/pics/键盘/digitalpiano/KAWAI CA28G 数码钢琴.jpg','digitalpiano','KAWAI','KAWAI CA28G 数码钢琴','2024-08-31 20:00:00',1,29326.98),
